tip,name
ERR5034650_1M_L001,Combretum_apetalum_ERR5034650
ERR5034940_1M_L001,Combretum_apetalum_ERR5034940
ERR5033519_1M_L001,Combretum_apiculatum_ERR5033519
ERR10550228_1M_L001,Combretum_bracteosum_ERR10550228
ERR10775180_1M_L001,Combretum_glabrum_ERR10775180
ERR5006179_1M_L001,Combretum_imberbe_ERR5006179
ERR10550197_1M_L001,Combretum_oxystachyum_ERR10550197
ERR10550182_1M_L001,Combretum_paniculatum_ERR10550182
ERR10775156_1M_L001,Combretum_sylvicola_ERR10775156
ERR4180180_1M_L001,Combretum_tetrandrum_ERR4180180
ERR10550200_1M_L001,Combretum_vendae_ERR10550200
ERR10775198_1M_L001,Combretum_zenkeri_ERR10775198
ERR10550185_1M_L001,Combretum_zeyheri_ERR10550185
ERR5034248_1M_L001,Conocarpus_lancifolius_ERR5034248
ERR5033395_1M_L001,Punica_protopunica_ERR5033395
ERR10550209_1M_L001,Strephonema_pseudocola_ERR10550209
ERR5034749_1M_L001,Terminalia_ankaranensis_ERR5034749
ERR5033330_1M_L001,Terminalia_buceras_ERR5033330
